Yr,Age,F
1974,5,0.94485225
1975,5,0.582859
1976,5,0.53854525
1977,5,0.339569
1978,5,0.5816525
1979,5,0.63248625
1980,5,0.3784925
1981,5,0.707623
1982,5,0.92686025
1983,5,0.60368975
1984,5,0.66016425
1985,5,0.6627325
1986,5,0.6748215
1987,5,0.8593535
1988,5,1.150435
1989,5,1.2998625
1990,5,0.878945
1991,5,0.73530425
1992,5,0.50553475
1993,5,0.645854
1994,5,1.0519325
1995,5,0.97500825
1996,5,0.85872575
1997,5,0.7933295
1998,5,1.031255
1999,5,0.724694
2000,5,0.54157275
2001,5,0.46168925
2002,5,0.4669215
2003,5,0.66317275
2004,5,0.59440725
2005,5,0.57487275
2006,5,0.539511
2007,5,0.5004755
2008,5,0.53045225
2009,5,0.446111
2010,5,0.52471475
2011,5,0.7140915
2012,5,0.83279525
2013,5,0.70353025
2014,5,0.87559525
2015,5,0.92403
2016,5,0.7628245
2017,5,0.5902425
2018,5,0.70152375
2019,5,0.79393775
2020,5,0.78077625
2021,5,0.7644475
2022,5,0.48808675
1952,6,0.00444424999999998
1953,6,0.07642075
1954,6,0.50138975
1955,6,0.27160375
1956,6,0.251227
1957,6,0.2727425
1958,6,0.50455025
1959,6,0.43603975
1960,6,0.41215125
1961,6,0.62237675
1962,6,0.52164825
1963,6,0.6132785
1964,6,0.3624575
1965,6,0.4479485
1966,6,0.6257195
1967,6,0.35759875
1968,6,0.36951875
1969,6,0.4466645
1970,6,1.09015275
1971,6,1.27349625
1972,6,1.1658335
1973,6,1.0849715
1974,6,0.96193575
1975,6,0.58994825
1976,6,0.536146
1977,6,0.3390955
1978,6,0.56355375
1979,6,0.638973
1980,6,0.3862345
1981,6,0.70263275
1982,6,0.93572625
1983,6,0.6155865
1984,6,0.6659415
1985,6,0.65797275
1986,6,0.6652705
1987,6,0.8516705
1988,6,1.15749
1989,6,1.3289175
1990,6,0.8901955
1991,6,0.73925425
1992,6,0.50001875
1993,6,0.64528425
1994,6,1.04318
1995,6,0.9962945
1996,6,0.86690325
1997,6,0.7966535
1998,6,1.037785
1999,6,0.710613
2000,6,0.52669275
2001,6,0.44703925
2002,6,0.446405
2003,6,0.63464175
2004,6,0.562174
2005,6,0.55952825
2006,6,0.5237275
2007,6,0.49565625
2008,6,0.520025
2009,6,0.429014
2010,6,0.50428225
2011,6,0.68777725
2012,6,0.80107575
2013,6,0.69258275
2014,6,0.84625
2015,6,0.91202
2016,6,0.7719865
2017,6,0.5739665
2018,6,0.6818765
2019,6,0.762734
2020,6,0.740429
2021,6,0.75978825
2022,6,0.485738
1952,7,0.00495525000000002
1953,7,0.077406
1954,7,0.50475575
1955,7,0.27178175
1956,7,0.25047825
1957,7,0.27399825
1958,7,0.50420625
1959,7,0.43782625
1960,7,0.41424175
1961,7,0.6235535
1962,7,0.51970925
1963,7,0.6099865
1964,7,0.3615515
1965,7,0.4448805
1966,7,0.6252595
1967,7,0.3495475
1968,7,0.3652615
1969,7,0.4472165
1970,7,1.087673
1971,7,1.27307525
1972,7,1.1738015
1973,7,1.09156425
1974,7,0.966613
1975,7,0.59102175
1976,7,0.53181275
1977,7,0.33735
1978,7,0.550662
1979,7,0.64029475
1980,7,0.38959475
1981,7,0.6970205
1982,7,0.93687525
1983,7,0.61989175
1984,7,0.666404
1985,7,0.65242675
1986,7,0.65687925
1987,7,0.8432915
1988,7,1.15610025
1989,7,1.3410825
1990,7,0.89346175
1991,7,0.73880325
1992,7,0.494952
1993,7,0.64191175
1994,7,1.03298
1995,7,1.0040225
1996,7,0.866785
1997,7,0.79423175
1998,7,1.03605
1999,7,0.69767125
2000,7,0.51464575
2001,7,0.436068
2002,7,0.43180325
2003,7,0.6148975
2004,7,0.540294
2005,7,0.547978
2006,7,0.51147375
2007,7,0.49081825
2008,7,0.51155925
2009,7,0.417018
2010,7,0.48962275
2011,7,0.6686995
2012,7,0.7788245
2013,7,0.68331375
2014,7,0.8259285
