Fleet,Length,Sel
1,26.5,2.64234e-09
2,26.5,2.31196e-09
3,26.5,2.30538e-09
4,26.5,2.3174e-09
5,26.5,2.3174e-09
6,26.5,2.32819e-09
7,26.5,2.31394e-09
8,26.5,2.31394e-09
9,26.5,2.30937e-09
10,26.5,8.9029e-13
11,26.5,2.64234e-09
12,26.5,2.31196e-09
13,26.5,2.30538e-09
14,26.5,2.3174e-09
15,26.5,2.31196e-09
16,26.5,2.30655e-09
17,26.5,9.86217e-09
18,26.5,0.000175546
19,26.5,2.33651e-09
20,26.5,2.32819e-09
1,27.5,2.74173e-09
2,27.5,2.31349e-09
3,27.5,2.30683e-09
4,27.5,2.31907e-09
5,27.5,2.31907e-09
6,27.5,2.32993e-09
7,27.5,2.3155e-09
8,27.5,2.3155e-09
9,27.5,2.31087e-09
10,27.5,1.03998e-12
11,27.5,2.74173e-09
12,27.5,2.31349e-09
13,27.5,2.30683e-09
14,27.5,2.31907e-09
15,27.5,2.31349e-09
16,27.5,2.30801e-09
17,27.5,1.17442e-08
18,27.5,0.000191915
19,27.5,2.33836e-09
20,27.5,2.32993e-09
1,28.5,2.87186e-09
2,28.5,2.31504e-09
3,28.5,2.3083e-09
4,28.5,2.32078e-09
5,28.5,2.32078e-09
6,28.5,2.33169e-09
7,28.5,2.31708e-09
8,28.5,2.31708e-09
9,28.5,2.31239e-09
10,28.5,1.21484e-12
11,28.5,2.87186e-09
12,28.5,2.31504e-09
13,28.5,2.3083e-09
14,28.5,2.32078e-09
15,28.5,2.31504e-09
16,28.5,2.3095e-09
17,28.5,1.40795e-08
18,28.5,0.000209714
19,28.5,2.34023e-09
20,28.5,2.33169e-09
1,29.5,3.04209e-09
2,29.5,2.31662e-09
3,29.5,2.30979e-09
4,29.5,2.32256e-09
5,29.5,2.32256e-09
6,29.5,2.33347e-09
7,29.5,2.31868e-09
8,29.5,2.31868e-09
9,29.5,2.31393e-09
10,29.5,1.4191e-12
11,29.5,3.04209e-09
12,29.5,2.31662e-09
13,29.5,2.30979e-09
14,29.5,2.32256e-09
15,29.5,2.31662e-09
16,29.5,2.311e-09
17,29.5,1.69732e-08
18,29.5,0.000229059
19,29.5,2.34213e-09
20,29.5,2.33347e-09
1,30.5,3.26455e-09
2,30.5,2.31821e-09
3,30.5,2.3113e-09
4,30.5,2.32441e-09
5,30.5,2.32441e-09
6,30.5,2.33528e-09
7,30.5,2.32029e-09
8,30.5,2.32029e-09
9,30.5,2.31549e-09
10,30.5,1.65771e-12
11,30.5,3.26455e-09
12,30.5,2.31821e-09
13,30.5,2.3113e-09
14,30.5,2.32441e-09
15,30.5,2.31821e-09
16,30.5,2.31252e-09
17,30.5,2.05542e-08
18,30.5,0.000250072
19,30.5,2.34406e-09
20,30.5,2.33528e-09
1,31.5,3.55489e-09
2,31.5,2.31982e-09
3,31.5,2.31282e-09
4,31.5,2.32635e-09
5,31.5,2.32635e-09
6,31.5,2.33712e-09
7,31.5,2.32193e-09
8,31.5,2.32193e-09
9,31.5,2.31706e-09
10,31.5,1.93643e-12
11,31.5,3.55489e-09
12,31.5,2.31982e-09
13,31.5,2.31282e-09
14,31.5,2.32635e-09
15,31.5,2.31982e-09
16,31.5,2.31406e-09
17,31.5,2.49796e-08
18,31.5,0.000272886
19,31.5,2.34601e-09
20,31.5,2.33712e-09
1,32.5,3.93329e-09
2,32.5,2.32145e-09
3,32.5,2.31437e-09
4,32.5,2.32842e-09
5,32.5,2.32842e-09
6,32.5,2.33897e-09
7,32.5,2.32359e-09
8,32.5,2.32359e-09
9,32.5,2.31866e-09
10,32.5,2.26202e-12
11,32.5,3.93329e-09
12,32.5,2.32145e-09
13,32.5,2.31437e-09
14,32.5,2.32842e-09
15,32.5,2.32145e-09
16,32.5,2.31562e-09
17,32.5,3.04412e-08
18,32.5,0.000297644
19,32.5,2.34799e-09
20,32.5,2.33897e-09
1,33.5,4.42573e-09
2,33.5,2.3231e-09
3,33.5,2.31593e-09
4,33.5,2.33066e-09
5,33.5,2.33066e-09
6,33.5,2.34086e-09
7,33.5,2.32527e-09
8,33.5,2.32527e-09
9,33.5,2.32028e-09
10,33.5,2.64235e-12
11,33.5,4.42573e-09
12,33.5,2.3231e-09
13,33.5,2.31593e-09
14,33.5,2.33066e-09
15,33.5,2.3231e-09
16,33.5,2.3172e-09
17,33.5,3.71725e-08
18,33.5,0.000324499
19,33.5,2.35e-09
20,33.5,2.34086e-09
1,34.5,5.06556e-09
2,34.5,2.32477e-09
3,34.5,2.31751e-09
