Yr,Age,N
1994,8,0.0347153
1995,8,0.12068
1996,8,0.0379816
1997,8,0.0342834
1998,8,0.0359914
1999,8,0.0301605
2000,8,0.04663
2001,8,0.0824701
2002,8,0.101919
2003,8,0.110528
2004,8,0.377963
2005,8,0.271475
2006,8,0.366416
2007,8,0.293859
2008,8,0.0885797
2009,8,0.353357
2010,8,0.212696
2011,8,0.216114
2012,8,0.194307
2013,8,0.121721
2014,8,0.190206
2015,8,0.0615019
2016,8,0.0379426
2017,8,0.0309276
2018,8,0.0363444
2019,8,0.0278935
2020,8,0.0343933
2021,8,0.057075
2022,8,0.0439349
1952,9,4.60416
1953,9,4.64321
1954,9,4.57468
1955,9,3.22974
1956,9,3.62299
1957,9,5.75998
1958,9,1.37383
1959,9,0.838072
1960,9,0.790156
1961,9,0.864311
1962,9,0.37547
1963,9,0.249148
1964,9,0.176031
1965,9,0.174668
1966,9,0.251581
1967,9,0.27867
1968,9,0.170834
1969,9,0.339733
1970,9,0.210909
1971,9,0.100244
1972,9,0.0547321
1973,9,0.0224698
1974,9,0.00961635
1975,9,0.00442624
1976,9,0.00397117
1977,9,0.0100608
1978,9,0.0294493
1979,9,0.0631963
1980,9,0.0872744
1981,9,0.052358
1982,9,0.199119
1983,9,0.0307756
1984,9,0.0227476
1985,9,0.0593702
1986,9,0.0392195
1987,9,0.0704484
1988,9,0.0309084
1989,9,0.0354994
1990,9,0.00546361
1991,9,0.0117951
1992,9,0.0052127
1993,9,0.00738107
1994,9,0.00320424
1995,9,0.00868585
1996,9,0.0307564
1997,9,0.0111561
1998,9,0.0108407
1999,9,0.00893576
2000,9,0.0105708
2001,9,0.0196051
2002,9,0.037472
2003,9,0.0466105
2004,9,0.0422198
2005,9,0.155762
2006,9,0.110334
2007,9,0.154549
2008,9,0.125932
2009,9,0.0372647
2010,9,0.163722
2011,9,0.0918139
2012,9,0.0782237
2013,9,0.0631125
2014,9,0.0431564
2015,9,0.0588644
2016,9,0.0175443
2017,9,0.0121892
2018,9,0.0123792
2019,9,0.0131197
2020,9,0.00938967
2021,9,0.0119387
2022,9,0.0188115
1952,10,9.99663
1953,10,10.13
1954,10,9.53002
1955,10,5.92615
1956,10,4.87083
1957,10,4.62015
1958,10,5.50274
1959,10,2.90355
1960,10,1.68378
1961,10,1.1394
1962,10,0.749833
1963,10,0.468747
1964,10,0.273749
1965,10,0.219103
1966,10,0.176961
1967,10,0.160402
1968,10,0.218067
1969,10,0.189483
1970,10,0.236366
1971,10,0.105885
1972,10,0.040523
1973,10,0.020476
1974,10,0.0100307
1975,10,0.00521081
1976,10,0.00372936
1977,10,0.00318013
1978,10,0.00661209
1979,10,0.0147206
1980,10,0.028671
1981,10,0.0546532
1982,10,0.037505
1983,10,0.0648004
1984,10,0.0357847
1985,10,0.0210172
1986,10,0.0294379
1987,10,0.0251222
1988,10,0.0290308
1989,10,0.0132458
1990,10,0.0088172
1991,10,0.00407486
1992,10,0.00530285
1993,10,0.00450492
1994,10,0.0043909
1995,10,0.00191635
1996,10,0.00269916
1997,10,0.00984687
1998,10,0.00666692
1999,10,0.00436318
2000,10,0.0047013
2001,10,0.00646826
2002,10,0.0119195
2003,10,0.0227642
2004,10,0.0267852
2005,10,0.0287903
2006,10,0.0754549
2007,10,0.0789806
2008,10,0.100424
2009,10,0.0957709
2010,10,0.062184
2011,10,0.098305
2012,10,0.069678
2013,10,0.0487005
2014,10,0.0399004
2015,10,0.0260308
2016,10,0.02438
2017,10,0.0134734
2018,10,0.0103451
2019,10,0.00827489
2020,10,0.00728558
2021,10,0.0058731
2022,10,0.00589526
